STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT13,WT16,WT19
USW00013958,"AUSTIN CAMP MABRY, TX US",1/1/13,0.06,0,0,,55,39,,,,,,,1,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/2/13,0,0,0,,45,34,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/3/13,0,0,0,,47,31,,,,,,,,,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/4/13,0.27,0,0,,45,37,,,,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/5/13,0,0,0,,56,38,1,,,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/6/13,0,0,0,,61,34,1,1,,,,,,1,,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/7/13,0,0,0,,57,31,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/8/13,0.6,0,0,,53,47,,,1,,,,1,,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/9/13,1.89,0,0,,59,51,,,1,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/10/13,0,0,0,,66,45,,1,,,,,,1,,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/11/13,0,0,0,,75,46,1,,,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/12/13,0.01,0,0,,75,47,1,,,,,,,1,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/13/13,0,0,0,,53,38,,,,,,,,,1,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/14/13,0,0,0,,51,35,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/15/13,0.04,0,0,,42,35,,,,,,,1,1,1,1
USW00013958,"AUSTIN CAMP MABRY, TX US",1/16/13,0,0,0,,54,30,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/17/13,0,0,0,,67,37,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",1/18/13,0,0,0,,66,34,,,,,,,,,,
