Qualifying Name,% Total Population: White Alone,% Total Population: Black or African American Alone,"% Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",% Owner Occupied Housing Units: Non-White Homeowners
"Anderson County, Texas",73.53,20.98,78.55,21.45
"Andrews County, Texas",92.4,1.98,51.54,48.46
"Angelina County, Texas",79.19,14.8,74.57,25.43
"Aransas County, Texas",89.26,1.54,79.4,20.6
"Archer County, Texas",94.82,0.92,93.97,6.03
"Armstrong County, Texas",95.51,0.37,95.25,4.75
"Atascosa County, Texas",92.76,0.25,42.37,57.63
"Austin County, Texas",80.53,8.88,75.93,24.07
"Bailey County, Texas",83.43,0.79,52.51,47.49
"Bandera County, Texas",91.21,0.79,87.03,12.97
"Bastrop County, Texas",71.06,7.87,69.15,30.85
"Baylor County, Texas",92.87,3.31,93.63,6.37
"Bee County, Texas",87.35,7.98,44.56,55.44
"Bell County, Texas",63.47,23.53,59.55,40.45
"Bexar County, Texas",79.72,7.62,39.69,60.31
"Blanco County, Texas",90.18,0.51,84.16,15.84
"Borden County, Texas",97.89,0,95.41,4.59
"Bosque County, Texas",95.08,1.6,86.56,13.44
"Bowie County, Texas",68.87,24.57,78.15,21.85
"Brazoria County, Texas",73.02,13.67,59.06,40.94
"Brazos County, Texas",75.79,10.49,69.81,30.19
"Brewster County, Texas",92.27,0.23,67.79,32.21
"Briscoe County, Texas",85.32,2.46,71.49,28.51
"Brooks County, Texas",89.99,0.68,9.37,90.63
"Brown County, Texas",91.53,3.87,81.15,18.85
"Burleson County, Texas",80.04,12.65,74.45,25.55
"Burnet County, Texas",92,1.82,84.97,15.03
"Caldwell County, Texas",79.71,6.37,55.02,44.98
"Calhoun County, Texas",86.65,2.57,56.34,43.66
"Callahan County, Texas",94.73,0.48,91.87,8.13
"Cameron County, Texas",94.46,0.54,17.16,82.84
"Camp County, Texas",72.6,16.56,66.58,33.42
"Carson County, Texas",94.71,1.29,94.45,5.55
"Cass County, Texas",78.06,17.4,83.73,16.27
"Castro County, Texas",90.91,0.9,52.98,47.02
"Chambers County, Texas",88.02,7.84,73.55,26.45
"Cherokee County, Texas",81.4,13.57,73.93,26.07
"Childress County, Texas",83.61,7.64,71.4,28.6
"Clay County, Texas",95.06,0.62,95.23,4.77
"Cochran County, Texas",90.32,3.44,43.39,56.61
"Coke County, Texas",89.4,0.61,77.69,22.31
"Coleman County, Texas",92.46,3.03,85.27,14.73
"Collin County, Texas",69.85,9.51,69.69,30.31
"Collingsworth County, Texas",78.3,7.41,69.13,30.87
"Colorado County, Texas",73.63,12.68,74.21,25.79
"Comal County, Texas",90.56,1.92,78.75,21.25
"Comanche County, Texas",94.41,1.26,79.43,20.57
"Concho County, Texas",94.47,2.22,66.56,33.44
"Cooke County, Texas",92.16,2.46,87.54,12.46
"Coryell County, Texas",71.98,14.06,76.6,23.4
"Cottle County, Texas",73.01,14.97,68.24,31.76
"Crane County, Texas",52.61,4.17,43.15,56.85
"Crockett County, Texas",41.84,0.88,45.5,54.5
"Crosby County, Texas",89.29,4.09,54.03,45.97
"Culberson County, Texas",81.84,0.13,23.91,76.09
"Dallam County, Texas",91.65,0.87,69.15,30.85
"Dallas County, Texas",61.69,22.51,47.84,52.16
"Dawson County, Texas",77.55,6.29,48.34,51.66
"Deaf Smith County, Texas",89.39,1.03,39.05,60.95
"Delta County, Texas",87.65,7.5,90.32,9.68
"Denton County, Texas",75.01,9.5,72.59,27.41
"DeWitt County, Texas",66.43,9.32,69.79,30.21
"Dickens County, Texas",91.29,3.07,76.71,23.29
"Dimmit County, Texas",89.16,0.05,16.37,83.63
"Donley County, Texas",89.73,5.08,90.17,9.83
"Duval County, Texas",87.05,1.68,12.39,87.61
"Eastland County, Texas",91.82,3.68,87.63,12.37
"Ector County, Texas",80.75,4.58,46.07,53.93
"Edwards County, Texas",99.71,0,63.21,36.79
