Qualifying Name,County,Primary Care Physicians (PCP),Mental Health Providers (MHP),Dentists,"Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population 18 to 64 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Infant Mortality Rate per 1,000 Live Births","Child Mortality Rate per 1,000 Population",Food Environment Index,Population,"Population (%, < 18 Years)","Population (%, 65 Years and Over)",High School Graduation Rate,Percent of Adults Having Some Post-secondary Education (Persons 25-44 Years),Percent of Unemployed (Persons 16 Years and Over),Percent of Children in Poverty,Percent of Single Parent Households,Violent Crime Rate,Percent of Low Birthweight Births (<2.5kg),Low Birthweight Births (<2.5kg) 95% Confidence Interval - Low
"Anderson County, Texas ",1,23,24,19,39.69761,41.64714,32.97066,27.878091,23.88965294,5.720824,64.00636,5.3,57627,19.220157,13.755705,93.79444444,39.85272298,4.788990826,25.4,36.07623119,302.2664343,8.059631959,7.2
"Andrews County, Texas ",3,8,1,4,47.62188,5.72181,22.88722,29.216414,24.58208458,,53.34187,7.4,17477,30.628826,9.944498,92,42.81643315,2.931052467,14.1,24.53033902,518.0096139,8.315899582,7.1
"Angelina County, Texas ",5,53,103,36,60.6123,117.37892,41.02564,30.276003,25.128729,4.923903,46.36019,5.3,87750,26.104843,15.009687,90.25695652,50.64757388,5.209316966,25.9,39.75336616,348.0234538,9.039291392,8.4
"Aransas County, Texas ",7,8,21,8,32.84612,84.09419,32.03588,31.020099,27.16727026,,77.45076,5.5,24972,18.62486,26.589781,90,51.42990002,5.470202564,32,34.19630797,201.3413303,9.145673604,7.8
"Archer County, Texas ",9,1,,,11.51941,,,26.337209,24.42155756,,,6.9,8811,21.65475,18.113721,96.23161765,58.84227297,4.536862004,13.7,17.22583876,120.99879,7.606679035,5.4
"Armstrong County, Texas ",11,0,,0,0,,0,29.384757,27.70448549,,,4.6,1955,23.375959,21.381074,,76.17866005,3.244837758,15.9,29.23433875,17.24435248,9.036144578,
"Atascosa County, Texas ",13,10,19,18,21.23458,39.77059,37.6774,29.733592,24.49949269,4.77327,45.96468,8,47774,27.85197,13.909239,90.50611888,45.93733404,4.861851672,24.4,35.1731519,171.4965445,8.652173913,7.8
"Austin County, Texas ",15,6,10,6,20.79939,34.34774,20.60864,28.119225,25.0422226,,35.46602,7.2,29114,24.167067,17.592911,95.54166667,58.22521224,4.679615677,18.3,29.41508104,202.2513464,7.162534435,6.2
"Bailey County, Texas ",17,5,,2,70.28395,,28.94356,41.503011,33.03824954,,,7.9,6910,30.274964,15.007236,97.5,37.75563713,5.118890357,29.8,13.26198232,251.8660988,8.182784272,6.4
"Bandera County, Texas ",19,5,6,3,24.27067,28.71913,14.35956,27.296324,25.11341542,,,7,20892,17.43251,24.626651,92.14285714,56.78217822,4.704737184,23.8,26.16694124,89.96417498,9.282700422,7.6
"Bastrop County, Texas ",21,19,50,21,25.0577,64.04591,26.89928,31.43211,27.10139228,5.808477,41.23021,5.8,78069,25.455687,13.684049,89.78311567,46.13565912,4.793146451,22.2,27.2972973,368.7931972,7.23518285,6.6
"Baylor County, Texas ",23,4,,1,110.68069,,27.83964,31.38054,27.51107829,,,6.6,3592,21.297327,25.083519,,64.38953488,4.300423986,29.3,19.37984496,379.6239075,10.03717472,6.4
"Bee County, Texas ",25,7,11,9,21.34211,33.47229,27.38642,27.896238,22.3419507,,60.74249,6.6,32863,21.306637,11.429267,88.49722992,41.28670788,5.703595547,29.7,42.89914731,219.6600941,9.582215408,8.5
"Bell County, Texas ",27,275,642,246,84.13826,195.05378,74.74023,23.075029,18.88238086,8.197097,78.49557,5.2,329140,27.745944,9.872395,87.10239492,65.28915234,5.810811806,21,33.22969946,413.7139615,8.816493906,8.6
"Bexar County, Texas ",29,1302,2967,1460,71.63253,159.87146,78.66947,27.706083,22.33595329,6.091289,51.79711,6.9,1855866,26.173819,11.280825,86.86812625,62.53384014,4.648314048,26.4,37.57194054,476.8598363,9.242613934,9.1
"Blanco County, Texas ",31,4,,4,37.30299,,36.99593,30.664532,28.61402672,,,7.6,10812,19.228635,22.410285,96.5,57.99632353,3.659394792,20.4,26.16520535,175.1423031,6.838905775,4.9
"Borden County, Texas ",33,0,0,0,0,0,0,17.759563,16.43286573,,,5,652,21.625767,20.552147,,83.01886793,3.044496487,14.2,15.42553192,51.8134715,,
"Bosque County, Texas ",35,7,2,7,39.2047,11.24859,39.37008,31.16484,27.40048562,,,6.4,17780,21.822272,23.852643,91.80379747,51.73888255,5.190989226,23.5,24.25680739,94.56443621,7.205882353,5.8
"Bowie County, Texas ",37,72,96,45,77.01606,102.92147,48.24444,23.996818,19.82104306,5.495148,54.69849,5,93275,23.831681,15.451085,94.22846284,53.86464572,6.284912703,30.9,43.56052074,677.6623848,9.561331295,8.9
"Brazoria County, Texas ",39,214,198,156,64.80096,58.5584,46.13692,24.670932,20.15930124,5.132643,40.8506,6.9,338124,26.845181,10.871455,92.1323846,65.49296529,5.035629454,13.3,28.1894993,170.3061648,8.353815719,8.1
"Brazos County, Texas ",41,161,176,104,79.24632,84.14933,49.7246,24.796283,21.75301918,4.560013,43.58957,4.3,209152,20.531479,8.268149,82.71054069,66.5425988,3.909567346,24.7,36.08317876,387.1169628,7.110536522,6.7
